from_bus,to_bus,resistance,reactance,susceptance,line_rating,line_status,P_from,Q_from,P_to,Q_to
1,4,0.001401,0.065213,0.0,159,1,1.05097547071927,2.04634642453333,-1.05090496184864,-2.04306441526814
1,5,0.000234,0.001088,0.0,0,1,7.99493279216896,-16.9263595554845,-7.99415298998056,16.9299853024118
1,8,0.001242,0.00813,0.00281,163,1,26.3290854201042,-73.5030243734455,-26.2573405302536,73.6755898740225
2,10,0.002029,0.012273,0.01461,205,1,12.5034196462211,145.353818002407,-12.0689613551615,-144.166372270918
8,10,0.000562,0.030731,0.0,506,1,-0.948645023025896,-142.180202868884,1.07799040879562,149.253001890393
9,10,0.013372,0.391071,0.0,150,1,0.323656303318786,10.8389537337112,-0.308696940036849,-10.4014594801941
5,12,0.002036,0.018017,0.07843,566,1,20.2031592220078,-4.26637512017309,-20.1952582603118,-3.91046480754736
7,12,-0.000227,-0.005281,0.0,79,1,-16.8922524031099,-4.92446856477061,16.8915841601362,4.90892234827722
9,12,0.000274,0.001005,0.0,0,1,-3.30364304405044,0.998571425539637,3.30367409401528,-0.998457537894876
4,13,0.010533,0.02282,0.00058,83,1,45.7064528724768,15.9235310799156,-45.4710937173087,-15.4739657344846
5,15,0.002291,0.015558,0.01074,264,1,-40.5692456686446,-2.61130277808739,40.6051845815834,1.72430309024746
9,15,0.000645,0.038997,0.0,309,1,-25.6810552101881,-20.283374542911,25.687709294495,20.6856835750288
6,16,0.019402,0.098075,0.01277,139,1,9.87826167442684,0.688901319728106,-9.85989269867386,-1.93306070392114
9,16,0.001856,0.057905,0.0,260,1,21.2216137218389,5.76523785423456,-21.2130745727585,-5.49882652476088
11,18,0.02945,0.139326,0.0292,188,1,6.57620800176698,-4.34161787683712,-6.56173070787375,1.36267117632309
17,18,0.001926,0.011259,0.01577,265,1,-3.76823050140189,-0.926936323678973,3.76849227218478,-0.720448170180345
13,19,0.003725,0.017099,0.01053,243,1,10.1190133699944,2.81008510331797,-10.114911784634,-3.87702131868901
18,19,0.001325,0.055133,0.0,161,1,12.329575662877,2.07687542348517,-12.3275699274764,-1.99341715190838
17,20,0.002616,0.014383,0.0096,259,1,2.93177454444369,5.15116352252017,-2.93075989302709,-6.14842842003563
17,22,0.002832,0.017776,0.04083,263,1,0.0001234919969622,-4.26962501621582,-8.05085223374192e-14,-7.22325005909626e-13
15,23,0.001358,0.006773,0.02196,278,1,-66.2928939029128,-22.4099866633222,66.3553128924045,20.4006893008197
21,24,0.004891,0.162907,0.0,96,1,-3.3978982977006,-0.252948715904845,3.39844438465339,0.271137509038623
20,26,0.018756,0.081561,0.00625,112,1,-6.54930173508594,-0.162787140509487,6.55701446918426,-0.456704357701989
25,29,0.000511,0.027118,0.0,523,1,2.47978125432301,1.94342754195612,-2.47972806060484,-1.94060463148422
20,30,0.006302,0.03638,0.00509,168,1,9.48006162926499,6.31121556044223,-9.47202357705816,-6.79455951998243
21,30,0.020071,0.056802,0.00665,69,1,3.3978982942807,0.252948718439502,-3.3956005043463,-0.937245538120555
28,30,0.003136,0.121908,0.0,117,1,29.0461273432139,0.940085064556785,-29.020677298864,0.0492529477560739
23,31,0.000705,0.008588,0.18487,1275,1,-46.8553288348152,-10.4818621633096,46.8699461250935,-8.92691625683907
26,31,0.005265,0.027962,0.01212,209,1,-52.2765229796287,-15.2944484039971,52.4249036265852,14.8063421497435
28,31,0.003062,0.017943,0.00236,158,1,77.2675162256246,6.64027618902846,-77.0948498032836,-5.87942588598986
11,32,0.082997,0.180504,0.00838,53,1,-15.2500045841662,-0.888115803140131,15.4354782759664,0.406968763929424
14,32,0.001865,0.054665,0.0,145,1,-62.0275476834511,36.8313934513839,62.1153021012014,-34.2592244185031
28,32,0.000849,0.004917,0.00265,232,1,-106.313643586505,-7.58036125228749,106.404028953032,7.82077147692483
25,34,0.001977,0.05883,0.0,256,1,21.4621362799105,-13.5043522669608,-21.4492826503121,13.88684039507
27,34,0.00542,0.03062,0.01647,251,1,53.130184471058,33.4212633443633,-52.9199689567378,-33.909364775547
3,35,0.003089,0.012881,0.00487,195,1,-35.0323459970462,-14.6272358481239,35.0747571855703,14.2940626768849
26,35,0.007787,0.036144,0.00468,131,1,13.070196258964,-8.9211067971932,-13.0518738118599,8.51564456268052
27,35,0.004112,0.027673,0.0074,221,1,-4.92264068885786,-34.9218632774082,4.97120848546295,34.4788048244338
19,36,0.047009,0.088535,0.01435,61,1,22.4424817201833,5.87043847824753,-22.1927118122987,-6.85516604055077
27,37,0.001875,0.012085,0.0047,250,1,19.9680726844042,21.6074583998283,-19.952133177956,-21.9876969930234
36,37,0.013268,0.056263,0.00521,127,1,-40.1261307575347,-13.9893351406224,40.3652723592368,14.4765567156571
32,38,0.000204,0.001139,0.0,0,1,-56.5665687707731,10.0555506877373,56.5728654329784,-10.0203943237576
32,39,0.000216,0.001104,0.0,0,1,-174.071570867408,2.18939387941499,174.132781549133,-1.8765392839318
34,40,0.004496,0.018652,0.00209,140,1,43.1356251307406,7.23842378357356,-43.0499079758077,-7.09202185841504
36,40,0.001427,0.007824,0.00593,227,1,-7.2086040927366,2.31678892905271,7.20944479438241,-2.90387199564008
33,41,0.002687,0.012895,0.0057,160,1,3.38726773374149,14.729906059657,-3.38122815043071,-15.3017993642405
35,41,0.000917,0.007596,0.02451,616,1,12.0759217039071,-15.3488149976128,-12.0729219193537,12.7972085761629
36,42,0.00227,0.06067,0.0,178,1,-16.2909821347708,-6.46162924095044,16.2979691088237,6.64836920385256
37,42,0.001359,0.067994,0.0,271,1,16.1208469499421,3.67981624460726,-16.1171748596354,-3.49609283893297
33,43,0.000268,0.001079,0.0,0,1,-114.388578397438,-46.016063308528,114.427152558541,46.1713674869956
38,43,0.004965,0.03223,0.02225,214,1,120.734026122708,0.490795318576413,-120.057147253697,1.53657455874456
38,44,0.014193,0.05988,0.01405,145,1,27.7531442471588,5.2552522825488,-27.6461335133368,-6.29593611784521
39,44,0.02287,0.099969,0.00713,125,1,17.9023389225433,3.43555163639499,-17.8307319310427,-3.88002702683359
38,46,0.008015,0.03984,0.01928,209,1,-201.76004388069,5.95281502270047,204.814557658353,7.13645643159855
39,46,0.006334,0.039535,0.11041,275,1,-201.714399885106,-6.81492818058261,204.122766549278,9.85323442931798
42,47,0.018963,0.084017,0.00898,128,1,-14.6723379714887,-7.92667126058865,14.7234192942136,7.24084532196553
42,48,0.001552,0.00723,0.00213,221,1,9.97816116922156,4.04827643512046,-9.97635981229224,-4.25419157618248
45,48,0.000236,0.001078,0.0,0,1,0.0,0.0,0.0,0.0
1,49,0.000678,0.004042,0.01016,332,1,34.5250026292593,123.962553223636,-34.417380464393,-124.383963308379
14,49,0.000284,0.001176,0.0,0,1,-30.9742639282918,-123.927832694578,31.0189121727222,124.11271415743
24,49,0.000214,0.001,0.0,0,1,-3.39844438177561,-0.271137510313943,3.39846827517322,0.27124916170464
43,51,0.000146,0.011471,0.0,1594,1,5.62999465466677,-47.7079420343438,-5.62664822107968,47.9708662787105
11,52,0.031025,0.084709,0.00465,69,1,16.2641981640124,3.65563010532002,-16.1808818968939,-3.90866080015864
37,52,0.001,0.008303,0.16203,1061,1,-0.164401262554149,-11.454186444101,0.164498580071857,-5.15079982053184
47,52,0.00028,0.001132,0.0,0,1,-6.64204988670466,-7.55098488325044,6.64232617876099,7.55210189256391
53,54,0.00704,0.017921,0.00038,60,1,1.94048705895796,6.56132889679539,-1.93735712390622,-6.59355213543961
6,55,0.003939,0.018912,0.0099,281,1,-8.67464175896891,-14.5350533044673,8.68483155069908,13.5413140864296
53,55,0.003609,0.013932,0.00201,170,1,1.68773650240522,9.42553986112461,-1.68454293966026,-9.62578510271143
54,55,0.000205,0.001043,0.0,0,1,1.93735711528138,6.59355214035487,-1.93726546085069,-6.59308582049531
2,56,0.001215,0.007094,0.00351,276,1,-12.5034196460998,-145.353818002342,12.7603745079815,146.498008973432
14,56,0.000605,0.006386,0.1132,1189,1,93.0018116580579,87.0964392244006,-92.9010124879521,-97.7086403239985
25,56,0.000246,0.001136,0.0,0,1,2.04531335989813,61.7040491231317,-2.03617815190255,-61.6618637723879
26,56,0.011349,0.033217,0.0093,129,1,27.0227975673459,22.0503134429992,-26.8884558996574,-22.620108414581
37,56,0.000246,0.001149,0.0,0,1,-75.8071510565444,-1.26715664028479,75.8209524915101,1.3316194401858
47,56,0.00017,0.00896,0.0,756,1,-10.4957581314556,-0.26487300950858,10.495940968998,0.274509623510564
51,56,0.001229,0.007207,0.00809,251,1,-2.38589032296733,-49.8982966196263,2.41553014009021,49.245798346982
53,56,0.000336,0.018667,0.0,625,1,2.78068529145614,21.3748309166112,-2.77917402706498,-21.2908702845012
5,57,0.005279,0.025474,0.00198,119,1,24.9519668091705,-3.42472908677909,-24.9201667710986,3.37000241123769
50,57,0.019975,0.049321,0.00127,41,1,-26.7292908865137,-9.06546227734817,26.883378058751,9.31370860370246
53,57,0.002871,0.097981,0.0,128,1,1.21253018514954,4.06036672846286,-1.21204335257322,-4.04375218904768
55,57,0.004749,0.020402,0.00276,136,1,8.31628457043373,10.7651111696545,-8.30782211213571,-11.0195425088372
6,58,0.005847,0.018135,0.00253,138,1,-1.20361991720648,13.8461519852072,1.21458021194801,-14.0772348948529
8,58,0.003414,0.110008,0.0,129,1,2.31905282648926,1.93458885485278,-2.31875618473403,-1.9250302824429
53,58,0.000357,0.017456,0.0,579,1,-1.06208249806879,-35.0860595279733,1.06634085985621,35.2942779127455
8,59,0.001032,0.008443,0.03311,513,1,-10.5761456765154,51.7819770410647,10.6050668554252,-55.0498614499341
25,59,0.004176,0.025418,0.00904,213,1,-25.9872308999977,-50.1431243997299,26.1151199615548,49.9811821168263
53,59,0.001791,0.062492,0.0,121,1,-6.5593565022164,-6.33600688741886,6.56078077155221,6.38570283344409
