bus_number,bus_type,P_demand,Q_demand,voltage_mag,voltage_ang
1,1,0.0,0,1,-0.840289545146936
2,1,0.0,0,1,-0.993158728672926
3,1,0.0,0,1,-0.389687000647719
4,1,0.0,0,1,-0.0930268222672876
5,1,254.138310934528,0,1,-1.16702582149108
6,2,0.0,0,1,4.65010954344339
7,1,0.0,0,1,-0.887866247347416
8,1,90.2668005157495,0,1,-1.40767954979073
9,1,0.0,0,1,-0.830323584263655
10,1,0.0,0,1,-0.151683769031203
11,3,0.0,0,1,0.0
12,2,0.0,0,1,1.09846240648022
13,1,328.494529733297,0,1,-1.8785970010419
14,1,0.0,0,1,1.18952859013126
15,1,0.0,0,1,-0.0249424267056219
16,2,0.0,0,1,4.65010954344339
17,1,144.98746608276,0,1,-1.99928802207349
18,1,20.3494407221493,0,1,-0.132408066330582
19,1,0.0,0,1,-0.324292580495494
20,2,0.0,0,1,-1.05240664562948
21,1,0.0,0,1,0.0875933076283772
22,2,0.0,0,1,1.67533282825167
23,1,115.542921387919,0,1,-1.10017630523252
24,2,0.0,0,1,4.89366659961305
25,2,0.0,0,1,3.81918654720378
26,1,33.7231960886617,0,1,4.04110675034568
27,1,0.0,0,1,-0.0912158276024138
28,1,0.0,0,1,-1.08190927207169
29,1,0.0,0,1,5.11671127202509
30,2,0.0,0,1,0.712738256181656
31,1,30.0365418705667,0,1,2.35548559061429
32,1,66.3014559414575,0,1,3.25665380909802
33,2,0.0,0,1,4.09161757266739
34,2,0.0,0,1,3.41825906016351
35,1,36.4615692944959,0,1,1.00705075924659
36,1,0.0,0,1,-0.691215741710471
37,2,0.0,0,1,5.79454428549632
38,1,127.536529251544,0,1,-0.915793757361076
39,1,0.0,0,1,0.147454356257337
40,1,0.0,0,1,0.803823965335495
41,1,0.0,0,1,2.35973770287141
42,1,0.0,0,1,-0.414310564188354
43,1,197.078232075125,0,1,-1.07299552189505
44,1,0.0,0,1,-1.7807893358039
45,1,0.0,0,1,-0.0345381072317495
46,2,0.0,0,1,-2.28199673297934
47,1,0.0,0,1,-2.46551533933598
48,1,1119.71229659433,0,1,-3.73303766912384
49,1,0.0,0,1,1.00895853696728
50,1,94.899940366526,0,1,-5.6249800429613
51,1,0.0,0,1,-1.61526903763221
52,1,0.0,0,1,-1.85874934574909
53,1,0.0,0,1,2.47987237904794
54,2,0.0,0,1,-2.80503532440706
55,1,6.5202033161828,0,1,-2.372330589342
56,1,0.0,0,1,-0.120324142723402
57,1,88.2611593073102,0,1,-4.4395936367745
