bus_number,P_output,Q_output,voltage_mag,gen_status,P_max,P_min
2,296.236184483283,0,1,1,333.703804717653,0
4,55.3731280881448,0,1,1,55.3731280881448,0
10,272.251234270997,0,1,1,272.251234270997,0
17,0.0,0,1,0,187.626346478521,0
19,31.4307998307143,0,1,1,31.4307998307143,0
24,136.961562843392,0,1,1,136.961562843392,0
25,587.324088678464,0,1,1,720.841504716761,0
26,0.0,0,1,0,39.1214120855935,0
29,620.123483510865,0,1,1,620.123483510865,0
30,451.70769932578,0,1,1,705.401767233498,0
33,38.0596183813388,0,1,1,38.0596183813388,0
38,0.0,0,1,0,438.690117776267,0
39,0.0,0,1,0,417.950173420954,0
46,264.84279406962,0,1,1,264.84279406962,0
